reasoner,repetition,synthetic_users,synthetic_triples,query_id,category,tier,execution_scope,authority,privacy_class,merge_strategy,source_roles,source_count,duration_ms,node_duration_ms_sum,result_count,ask_result,result_digest,status,censored,failed_phase,timeout_seconds,error
rdfs,1,10,721,EXT-Q50,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,32.936463,98.472282,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q51,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,31.034556,77.15806599999999,32,,d96e9e0968e2bb5a55d9ce98a9e9522d5cb6082d083dcb5d8b65c30d87614d48,completed,False,,,
rdfs,1,10,721,EXT-Q52,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,29.364796,73.193787,32,,e4cc722951be46789eb75264501a53ba96774192510017491e856efc76f0aa19,completed,False,,,
rdfs,1,10,721,EXT-Q53,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,50.383852,146.93595,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q54,decision,domain,authorities,data_owner,restricted,set_union,edge1|edge2|edge3,3,28.671167,80.936422,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q55,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,20.84763,59.113449,8,,8c3e48566f94616cee569d9b5812ba30ec566c1adc22c2c92d13749c523df534,completed,False,,,
rdfs,1,10,721,EXT-Q56,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,49.541611,145.60254,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q57,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,20.136297,57.856356,7,,058d2944c03f01a48917edc20c871d5f86e2b184778cd894bf433e94a8ffca12,completed,False,,,
rdfs,1,10,721,EXT-Q58,decision,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,31.185908,90.465519,7,,5a003716962d1299d69dd1de460f6a48eb40b34fbbb1eeb486379f039621a795,completed,False,,,
rdfs,1,10,721,EXT-Q59,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,67.721482,143.204677,35,,13174fdc62dcf1fb82964d21f2ae1d433999faabd3565ac32b4f7d156d1f54ee,completed,False,,,
rdfs,1,10,721,EXT-Q60,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,27.118463,78.005773,1,,285931564bf116179a45da920fdf958a3347ea1df763213bb7e2afba77c47d16,completed,False,,,
rdfs,1,10,721,EXT-Q61,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,8.349518,23.780416,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q62,adaptation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,22.605518,66.62502599999999,1,,3dafef0eca79c68f05b79939f40198bc13232639d500d3e9875bc263b0f00d4d,completed,False,,,
rdfs,1,10,721,EXT-Q63,delegation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,24.874648,71.815232,1,,d4b4c3785ae985658dfc4a4433dd002e5aec5a2321080af4e85474c06a3404f5,completed,False,,,
rdfs,1,10,721,EXT-Q64,delegation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,21.351204,61.938748000000004,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q65,delegation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,12.882314,38.185219000000004,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q66,federation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,25.679667,72.404437,2,,1a9af60cfbb87dd79b68021c3d70e1ee6f230e648f1ad6360ef50fffd374b4df,completed,False,,,
rdfs,1,10,721,EXT-Q67,federation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,39.709741,116.261899,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q68,federation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,25.481055,73.752973,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q69,federation,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,28.655704,81.821552,2,,8271d93912e320b11a3ca6d70e5061d5132abb26053b022198090871531d61eb,completed,False,,,
rdfs,1,10,721,EXT-Q70,audit_temporal,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,109.232722,179.577061,204,,01824916f48e90d6c6df066f2950c4d8a2e2d6f71ba4af556d43e8921ae41930,completed,False,,,
rdfs,1,10,721,EXT-Q71,audit_temporal,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,41.852556,110.303451,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q72,audit_temporal,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,201.771574,258.89349799999997,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q73,audit_temporal,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,78.2175,184.791901,200,,46d1ef95936a63e101a14f7b06eb1eba304a1f4094308a8f63c177807c777af5,completed,False,,,
rdfs,1,10,721,EXT-Q74,audit_temporal,core,authorities,data_owner,confidential,set_union,edge1|edge2|edge3,3,117.581666,286.464419,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
rdfs,1,10,721,EXT-Q75,validation,core,cloud,global,internal,single,cloud,1,17.14368,17.14368,74,,8dd432df42d733f2411b2aebc51682848ddadc97425c41088f0a99090f77f1c0,completed,False,,,
rdfs,1,10,721,EXT-Q76,validation,core,cloud,global,internal,single,cloud,1,4.907142,4.907142,9,,50bf3d3f7f446e045722279f6d243ecc804cd2cf73b381d9c89f530b567855ea,completed,False,,,
rdfs,1,10,721,EXT-Q77,validation,core,cloud,global,internal,single,cloud,1,8.912857,8.912857,6,,ba52fb52449a77784e328f0aaa19807ddd9156c7457ea722a8af2f2082dce9ad,completed,False,,,
rdfs,1,10,721,EXT-Q78,policy_governance,core,cloud,global,internal,single,cloud,1,66.88152,66.88152,37,,dc49d089c1cfb621b31177ad5794c8ca7638f40689eba56af4f4ea2a38c683f1,completed,False,,,
rdfs,1,10,721,EXT-Q79,policy_governance,core,cloud,global,internal,single,cloud,1,10.037651,10.037651,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,completed,False,,,
