suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts
cumulative,rdfs,2,10,policy_governance,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,380.786001,292.923928,10,1
cumulative,rdfs,2,10,policy_governance,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,393.86455600000005,373.167425,11,1
cumulative,rdfs,2,10,policy_governance,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,387.840968,669.163892,12,1
cumulative,rdfs,2,11,adaptation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,406.853641,308.148471,42,1
cumulative,rdfs,2,11,adaptation,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,406.457295,382.846946,13,1
cumulative,rdfs,2,11,adaptation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,394.951168,308.074776,11,1
cumulative,rdfs,2,11,adaptation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,393.86455600000005,401.285984,11,1
cumulative,rdfs,2,11,adaptation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,401.65667099999996,809.0100100000001,13,1
cumulative,rdfs,2,12,delegation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,416.4794299999999,372.473548,43,1
cumulative,rdfs,2,12,delegation,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,409.14999799999987,558.558817,14,1
cumulative,rdfs,2,12,delegation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,419.03855799999997,432.370927,12,1
cumulative,rdfs,2,12,delegation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,412.7830569999999,392.752758,12,1
cumulative,rdfs,2,12,delegation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,406.52382499999993,477.632041,14,1
cumulative,rdfs,2,13,federation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,437.47716499999984,340.071084,47,1
cumulative,rdfs,2,13,federation,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,431.15827599999994,678.810129,15,1
cumulative,rdfs,2,13,federation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,431.179243,449.53496,12,1
cumulative,rdfs,2,13,federation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,439.6104279999999,421.386906,13,1
