layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,11,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,12,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,13,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,14,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,15,cumulative,,22149.784617999998
replicated,7381.969514,max_node_reasoning_ms,3,7394.6464307,owlrl,16,cumulative,,22149.784617999998
sharded,62.712944,query_wall_ms,3,166.3896068,owlrl,1,cumulative,,302.614616
sharded,57.294947,query_wall_ms,3,60.701945599999995,owlrl,2,cumulative,,175.066534
sharded,174.732968,query_wall_ms,3,175.49903,owlrl,3,cumulative,,524.389653
sharded,643.5621100000001,query_wall_ms,3,655.7935248999999,owlrl,4,cumulative,,1939.1219409999999
sharded,953.905132,query_wall_ms,3,977.2533361000001,owlrl,5,cumulative,,2788.412487
sharded,1354.768726,query_wall_ms,3,1497.5440951,owlrl,6,cumulative,,4194.856943000001
sharded,1424.7323649999998,query_wall_ms,3,1544.9781592,owlrl,7,cumulative,,4361.705298
sharded,1591.816331,query_wall_ms,3,1599.1701904999998,owlrl,8,cumulative,,4742.878962
sharded,2014.0745560000003,query_wall_ms,3,2157.0226350999997,owlrl,9,cumulative,,6190.327231
sharded,2119.901775,query_wall_ms,3,2163.0432318000003,owlrl,10,cumulative,,6400.525052999999
sharded,2439.6764439999993,query_wall_ms,3,2439.8072985999997,owlrl,11,cumulative,,7318.201295999999
sharded,2576.2414289999997,query_wall_ms,3,3352.7200344,owlrl,12,cumulative,,8418.084023
sharded,2761.8154069999996,query_wall_ms,3,2801.8042772,owlrl,13,cumulative,,8241.512247999999
sharded,3263.018113,query_wall_ms,3,3279.5910604000005,owlrl,14,cumulative,,9725.331138000001
sharded,3313.646363,query_wall_ms,3,3498.0372398000004,owlrl,15,cumulative,,9971.827308
sharded,3612.1707369999995,query_wall_ms,3,3762.7382827000006,owlrl,16,cumulative,,10989.229817
replicated,33.296301,query_wall_ms,3,64.3761882,owlrl,1,cumulative,,120.805159
replicated,43.020902,query_wall_ms,3,43.635844999999996,owlrl,2,cumulative,,128.165657
replicated,82.693661,query_wall_ms,3,84.4997864,owlrl,3,cumulative,,249.769405
replicated,350.730076,query_wall_ms,3,362.51217399999996,owlrl,4,cumulative,,951.0734339999999
replicated,303.004417,query_wall_ms,3,354.8309161,owlrl,5,cumulative,,941.850944
replicated,500.52631700000006,query_wall_ms,3,510.9124646000001,owlrl,6,cumulative,,1450.8741780000003
replicated,400.282938,query_wall_ms,3,425.76458130000003,owlrl,7,cumulative,,1217.363414
replicated,498.309914,query_wall_ms,3,602.0545421,owlrl,8,cumulative,,1577.218516
replicated,652.659216,query_wall_ms,3,686.4251216999999,owlrl,9,cumulative,,1949.5669409999998
replicated,831.473879,query_wall_ms,3,892.1411239999998,owlrl,10,cumulative,,2559.2087119999997
replicated,914.8324670000002,query_wall_ms,3,1001.8175705000001,owlrl,11,cumulative,,2803.3936160000003
replicated,1002.9969980000001,query_wall_ms,3,1062.3179312,owlrl,12,cumulative,,3011.1854359999998
replicated,1089.609948,query_wall_ms,3,1092.3287139,owlrl,13,cumulative,,3203.263111
replicated,1070.093081,query_wall_ms,3,1181.3911985,owlrl,14,cumulative,,3316.5127279999997
replicated,1263.904395,query_wall_ms,3,1388.5848951000003,owlrl,15,cumulative,,3855.3739180000002
replicated,1310.3080820000002,query_wall_ms,3,1319.4449738,owlrl,16,cumulative,,3934.0436300000006
sharded,14065.24412,total_wall_ms,3,14340.9295262,rdfs_owlrl,1,cumulative,,42460.128455
