figure,maximum,median,metric,minimum,n,series,x
sharded-cumulative-time,5.099721730000001,1.488789345,query_wall_ms,1.470205843,3,rdfs,7.0
sharded-cumulative-time,1.8714368389999998,1.6286293710000002,query_wall_ms,1.6285424909999997,3,rdfs,8.0
sharded-cumulative-time,2.1974731020000005,2.1905489240000007,query_wall_ms,2.1292125769999997,3,rdfs,9.0
sharded-cumulative-time,2.170588226,2.1619377569999996,query_wall_ms,2.1333730239999995,3,rdfs,10.0
sharded-cumulative-time,3.868354576,3.767239113,query_wall_ms,3.6026358110000003,3,rdfs,11.0
sharded-cumulative-time,3.5090875770000003,2.7193427250000006,query_wall_ms,2.7044063549999997,3,rdfs,12.0
sharded-cumulative-time,3.9632403039999997,2.9843566810000004,query_wall_ms,2.9340144639999997,3,rdfs,13.0
sharded-cumulative-time,3.3473419990000006,3.258355710999999,query_wall_ms,3.111014583,3,rdfs,14.0
sharded-cumulative-time,4.312950257000001,3.3264151220000002,query_wall_ms,3.276114627,3,rdfs,15.0
sharded-cumulative-time,4.039226421,3.8695194729999995,query_wall_ms,3.8536285730000004,3,rdfs,16.0
sharded-cumulative-time,0.083299408,0.071004232,query_wall_ms,0.061601997,3,rdfs_owlrl,1.0
sharded-cumulative-time,0.061597614999999994,0.057258766,query_wall_ms,0.055331365,3,rdfs_owlrl,2.0
sharded-cumulative-time,0.180322259,0.173674038,query_wall_ms,0.171978362,3,rdfs_owlrl,3.0
sharded-cumulative-time,0.919678662,0.786249087,query_wall_ms,0.657027725,3,rdfs_owlrl,4.0
sharded-cumulative-time,0.994699161,0.865033639,query_wall_ms,0.859025872,3,rdfs_owlrl,5.0
sharded-cumulative-time,1.842100583,1.8005550080000001,query_wall_ms,1.5420611160000002,3,rdfs_owlrl,6.0
sharded-cumulative-time,1.724242869,1.6760887210000002,query_wall_ms,1.653504566,3,rdfs_owlrl,7.0
sharded-cumulative-time,1.8500070840000005,1.840596038,query_wall_ms,1.7976260760000002,3,rdfs_owlrl,8.0
sharded-cumulative-time,3.1048514000000003,2.763169952,query_wall_ms,2.303577416,3,rdfs_owlrl,9.0
sharded-cumulative-time,2.440576072,2.430320602,query_wall_ms,2.3734522780000002,3,rdfs_owlrl,10.0
sharded-cumulative-time,2.702229258,2.6951768049999996,query_wall_ms,2.6522354249999993,3,rdfs_owlrl,11.0
sharded-cumulative-time,5.493905094,2.957258364,query_wall_ms,2.9390090280000005,3,rdfs_owlrl,12.0
sharded-cumulative-time,4.119273357999999,3.2036000560000004,query_wall_ms,3.1511332750000003,3,rdfs_owlrl,13.0
sharded-cumulative-time,3.7008560509999997,3.657622946,query_wall_ms,3.6108066720000003,3,rdfs_owlrl,14.0
sharded-cumulative-time,3.647436888,3.4569546170000005,query_wall_ms,3.3828763889999998,3,rdfs_owlrl,15.0
sharded-cumulative-time,4.148245830000001,4.1345995890000005,query_wall_ms,4.060896292,3,rdfs_owlrl,16.0
sharded-cumulative-resources,29.721846465,29.713670621000002,total_process_cpu_ms,29.602470944,3,owlrl,1.0
sharded-cumulative-resources,29.751772969,29.74636745,total_process_cpu_ms,29.497534683,3,owlrl,2.0
sharded-cumulative-resources,29.927216034,29.920380695,total_process_cpu_ms,29.722176157000003,3,owlrl,3.0
sharded-cumulative-resources,31.115516048,31.104651602,total_process_cpu_ms,30.864800492999997,3,owlrl,4.0
sharded-cumulative-resources,31.748325056000002,31.636861398,total_process_cpu_ms,31.517821635,3,owlrl,5.0
sharded-cumulative-resources,32.431806361999996,32.361590528,total_process_cpu_ms,32.165754357000004,3,owlrl,6.0
sharded-cumulative-resources,32.803700055,32.612852317,total_process_cpu_ms,32.389519068999995,3,owlrl,7.0
sharded-cumulative-resources,33.030298445,32.938791397,total_process_cpu_ms,32.637666639,3,owlrl,8.0
sharded-cumulative-resources,34.241533503999996,34.240511755,total_process_cpu_ms,34.07845717599999,3,owlrl,9.0
sharded-cumulative-resources,34.637250268,34.579611795999995,total_process_cpu_ms,34.331064979000004,3,owlrl,10.0
sharded-cumulative-resources,35.131922613,35.071050407,total_process_cpu_ms,34.807600206000004,3,owlrl,11.0
sharded-cumulative-resources,35.277179933,35.258019107,total_process_cpu_ms,35.071817635,3,owlrl,12.0
sharded-cumulative-resources,35.871621563,35.860831489999995,total_process_cpu_ms,35.627156285,3,owlrl,13.0
sharded-cumulative-resources,36.96900998,36.717018506,total_process_cpu_ms,36.477470032999996,3,owlrl,14.0
sharded-cumulative-resources,36.816811762,36.783997851,total_process_cpu_ms,36.641156396999996,3,owlrl,15.0
sharded-cumulative-resources,37.059094939000005,37.042602048,total_process_cpu_ms,36.778803595,3,owlrl,16.0
sharded-cumulative-resources,9.191990522,9.061830803000001,total_process_cpu_ms,8.921505996,3,rdfs,1.0
sharded-cumulative-resources,9.300108852,9.120772215999999,total_process_cpu_ms,9.064089925000001,3,rdfs,2.0
sharded-cumulative-resources,9.2828904,9.236810626,total_process_cpu_ms,9.144685736,3,rdfs,3.0
sharded-cumulative-resources,10.562876479,10.457034334,total_process_cpu_ms,10.424330637999999,3,rdfs,4.0
sharded-cumulative-resources,10.986428687,10.948034972,total_process_cpu_ms,10.80606186,3,rdfs,5.0
sharded-cumulative-resources,11.782921205000001,11.675454545000001,total_process_cpu_ms,11.508249053,3,rdfs,6.0
sharded-cumulative-resources,12.089729223,12.079530477,total_process_cpu_ms,12.05636642,3,rdfs,7.0
sharded-cumulative-resources,12.456395262,12.426363951999999,total_process_cpu_ms,12.340090639,3,rdfs,8.0
sharded-cumulative-resources,13.823693292,13.785324711,total_process_cpu_ms,13.719284015,3,rdfs,9.0
sharded-cumulative-resources,13.995141417000001,13.941241437999999,total_process_cpu_ms,13.90260426,3,rdfs,10.0
sharded-cumulative-resources,14.587558234,14.498735187,total_process_cpu_ms,14.391906328,3,rdfs,11.0
sharded-cumulative-resources,14.893392125,14.825066706,total_process_cpu_ms,14.682052853,3,rdfs,12.0
sharded-cumulative-resources,15.330805756,15.308659442,total_process_cpu_ms,15.269586694,3,rdfs,13.0
sharded-cumulative-resources,16.123916117,16.074337521,total_process_cpu_ms,15.944599521,3,rdfs,14.0
sharded-cumulative-resources,16.24704582,16.112540326999998,total_process_cpu_ms,16.054678619,3,rdfs,15.0
sharded-cumulative-resources,16.505668415,16.401789403,total_process_cpu_ms,16.261350175,3,rdfs,16.0
sharded-cumulative-resources,54.513747975,54.262355707000005,total_process_cpu_ms,54.09121901,3,rdfs_owlrl,1.0
sharded-cumulative-resources,54.544895664,54.289698314,total_process_cpu_ms,54.122365871,3,rdfs_owlrl,2.0
sharded-cumulative-resources,54.719766636,54.473427751,total_process_cpu_ms,54.299703733,3,rdfs_owlrl,3.0
sharded-cumulative-resources,56.056861686,55.955724916,total_process_cpu_ms,55.510754417,3,rdfs_owlrl,4.0
sharded-cumulative-resources,56.560499584999995,56.16100849,total_process_cpu_ms,55.990919638,3,rdfs_owlrl,5.0
sharded-cumulative-resources,57.669041766,57.315375158,total_process_cpu_ms,57.295479778,3,rdfs_owlrl,6.0
sharded-cumulative-resources,57.947483798,57.612073820000006,total_process_cpu_ms,57.415492483,3,rdfs_owlrl,7.0
sharded-cumulative-resources,58.153415632999995,57.935751018000005,total_process_cpu_ms,57.846051215,3,rdfs_owlrl,8.0
sharded-cumulative-resources,59.69461623,59.302900615,total_process_cpu_ms,59.068468894999995,3,rdfs_owlrl,9.0
sharded-cumulative-resources,59.688211445,59.458007856,total_process_cpu_ms,59.394261763,3,rdfs_owlrl,10.0
sharded-cumulative-resources,60.190357466,60.035703042,total_process_cpu_ms,59.795684987,3,rdfs_owlrl,11.0
sharded-cumulative-resources,60.70725715,60.416683508,total_process_cpu_ms,60.164324171,3,rdfs_owlrl,12.0
sharded-cumulative-resources,61.225210183,60.827450294,total_process_cpu_ms,60.721248941999995,3,rdfs_owlrl,13.0
sharded-cumulative-resources,61.897153599,61.758190588000005,total_process_cpu_ms,61.530783185,3,rdfs_owlrl,14.0
sharded-cumulative-resources,62.061762081,61.717987079,total_process_cpu_ms,61.642725377000005,3,rdfs_owlrl,15.0
sharded-cumulative-resources,62.320616095,61.993503923000006,total_process_cpu_ms,61.799309723,3,rdfs_owlrl,16.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,1.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,2.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,3.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,4.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,5.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,6.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,7.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,8.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,9.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,10.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,11.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,12.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,13.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,14.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,15.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,owlrl,16.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,1.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,2.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,3.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,4.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,5.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,6.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,7.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,8.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,9.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,10.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,11.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,12.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,13.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,14.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,15.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs,16.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,1.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,2.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,3.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,4.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,5.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,6.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,7.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,8.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,9.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,10.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,11.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,12.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,13.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,14.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,15.0
sharded-cumulative-resources,249.76171875,249.76171875,max_node_peak_rss_kib,249.76171875,3,rdfs_owlrl,16.0
sharded-scalability-time,12.268318047000001,11.955513993,total_wall_ms,11.853096082,3,owlrl,10.0
sharded-scalability-time,16.535184546,16.485581811,total_wall_ms,16.000630344,3,owlrl,100.0
