source,target,kind,predicate,index
http://example.org/smartcity#delegatesTo,http://example.org/smartcity#ComputationalNode,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#delegationDepth,http://example.org/smartcity#DelegationEvent,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#delegationDepth,http://www.w3.org/2001/XMLSchema#integer,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#derivedFrom,http://example.org/smartcity#State,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#derivedFrom,http://www.w3.org/ns/sosa/Observation,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#eligibilityReason,http://example.org/smartcity#DecisionAlternative,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#eligibilityReason,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#estimatedPredictionError,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#estimatedPredictionError,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evaluatesNode,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#evaluatesNode,http://example.org/smartcity#ComputationalNode,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evaluatesService,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#evaluatesService,http://example.org/smartcity#Service,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evaluationOrder,http://example.org/smartcity#PolicyCategory,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#evaluationOrder,http://www.w3.org/2001/XMLSchema#integer,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evaluationPurpose,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#evaluationPurpose,http://example.org/smartcity#ProcessingPurpose,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evaluationUser,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#evaluationUser,http://example.org/smartcity#User,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evaluationZone,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#evaluationZone,http://example.org/smartcity#CityArea,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#evidenceContribution,http://example.org/smartcity#TrustEvidence,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
