architecture,endpoint,role,profile,dimension,dimension_value,reasoner,repetition,synthetic_users,target_triples,rule_count,padding_mode,status,error,prepare_wall_ms,generation_ms,reasoning_ms,input_triples,output_triples,inferred_triples,closure_expansion_factor,process_cpu_ms,current_rss_kib,peak_rss_kib,disk_read_bytes,disk_write_bytes,timeout_seconds
physical,http://127.0.0.1:8391,cloud,users-500,users,500,rdfs,2,500,0,25,neutral,completed,,4648.448668,366.389314,4121.020901,43097,67445,24348,1.5649581177344132,4643.40049,1124336,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,rdfs,3,500,0,25,neutral,completed,,5859.748216,370.047531,4810.452844,43097,67445,24348,1.5649581177344132,5853.414902,1118256,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,owlrl,1,500,0,25,neutral,completed,,14592.577713,319.082824,14009.883903,43097,79680,36583,1.8488525883472167,14578.887245,1118256,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,owlrl,2,500,0,25,neutral,completed,,14897.902581,138.327309,14512.400219,43097,79680,36583,1.8488525883472167,14884.235589,1117248,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,owlrl,3,500,0,25,neutral,completed,,15216.897057,170.92651,14162.032755,43097,79680,36583,1.8488525883472167,15203.076547,1117248,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,rdfs_owlrl,1,500,0,25,neutral,completed,,26487.505022,502.749891,25514.295346,43097,99005,55908,2.297259670046639,26464.804383,1117248,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,rdfs_owlrl,2,500,0,25,neutral,completed,,25247.461059,137.111237,24950.280132,43097,99005,55908,2.297259670046639,25225.96822,1117248,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-500,users,500,rdfs_owlrl,3,500,0,25,neutral,completed,,26532.360801,325.059975,25731.647659,43097,99005,55908,2.297259670046639,26527.117037,1116240,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-1000,users,1000,rdfs,1,1000,0,25,neutral,completed,,9187.437848,680.268303,7965.819624,78202,122100,43898,1.561341142170277,9184.958885,1114208,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,users-1000,users,1000,rdfs,2,1000,0,25,neutral,completed,,10051.636686,719.285922,8040.772197,78202,122100,43898,1.561341142170277,10048.667672,1114208,1444856,0,0,45.0
